Frame,AU1L,AU1R,AU2L,AU2R,AU4L,AU4R,AU6L,AU6R,AU9,AU10,AU13L,AU13R,AU18,AU22,AU27
1,1.1803317918408425e-07,1.7372474176924594e-09,5.185372241201437e-08,0.017404989903858494,0.14834365101564548,2.527287467441088e-05,0.9407767129334922,1.1240913582569196,9.94893066917578e-09,0.18228350885573785,0.7913276404385551,1.1433632077077105,-2.4134906525473304e-08,-2.493585381693019e-08,-2.43743112404598e-08
2,1.1304769649029445e-07,7.934092334444523e-09,4.679461643114075e-08,0.018348154943050737,0.15142483153999026,6.081076313891192e-06,0.9532330554843216,1.1421454448012351,1.5701076774503747e-09,0.18067564169773245,0.7960222136280966,1.1478388111360245,-2.2116330802642118e-08,-2.2821968160794875e-08,-2.2203616937929202e-08
3,1.1589616997146694e-07,1.337535427837067e-08,5.2182540830563567e-08,0.016840786014821744,0.15398555064952876,8.948859285016092e-06,0.9774097504925398,1.1719190134511617,-1.6155105808332732e-09,0.17856713570329333,0.8005140417956932,1.153313221609776,-2.006733973991029e-08,-2.069246224759919e-08,-2.0189468806626488e-08
4,2.1693073610064523e-08,2.8956276733300344e-08,1.4560238874598431e-08,0.016400511794670385,0.15373621809664112,1.482269343317335e-05,0.995783016358943,1.196114168742214,5.350263626559613e-09,0.17804838759558225,0.7989348819275696,1.160829050657364,3.503967672783433e-10,3.650839830565447e-10,2.3002062875147298e-10
5,3.655715182046259e-08,5.0033007763705334e-08,2.5374722548568588e-08,0.01736244178001907,0.15305680220886805,5.317273570646894e-05,1.009339479585471,1.1989457384909636,9.219914092956122e-09,0.17884327847576767,0.8047873084317868,1.1663205384666695,7.403415101306069e-10,7.698855655131133e-10,5.343511854785365e-10
6,2.4940854342760708e-08,3.414987515433506e-08,1.7313820797239296e-08,0.025070965315587054,0.15387622873615364,0.00030637309118805014,1.0149088285565846,1.1934242121261731,6.325967338204949e-09,0.1793875763007269,0.8070216931251636,1.1698917790875258,5.228622914076547e-10,5.431025970119768e-10,3.826755364298465e-10
7,1.921300404958492e-09,1.0715180743708843e-09,1.1492560854056815e-09,0.0230215135602648,0.15298189720648867,7.013372527715289e-06,1.0056973722566571,1.1810276417890528,1.9946044270613057e-10,0.17760993589605914,0.8064766209020551,1.1667674536651895,-2.0888071808700616e-10,-2.15893525152713e-10,-2.1587713559142081e-10
8,1.3821575413042425e-09,2.1322440884968737e-10,7.652846879500515e-10,0.023432909697548784,0.1518920311886319,3.6242327331044853e-06,0.9948108614530122,1.1647644254673382,9.73287684511782e-11,0.17657950514327048,0.7927249414737617,1.158163929254938,-2.502901832238811e-10,-2.588890099316923e-10,-2.5381736356935355e-10
9,7.171427569878264e-08,8.29096959849007e-09,3.564368011337583e-08,0.0261111662785704,0.1504264987335458,4.9761247778860174e-05,0.9843339269972295,1.1515305702119623,5.280323768423451e-09,0.1728461978995519,0.787911137506236,1.1527667129224888,-9.357706387513532e-09,-9.645395432390755e-09,-9.047828291942377e-09
10,1.3955413999174086e-07,1.7780569061909007e-08,7.024705032333721e-08,0.028390196484548345,0.1488518986650433,5.905551842658536e-05,0.9748666541712409,1.1471582044428326,9.649985854361874e-09,0.16749290967939995,0.7892526735886797,1.1515428497603957,-1.8396749547201583e-08,-1.8975115476351768e-08,-1.768200365668596e-08
