Frame,AU1L,AU1R,AU2L,AU2R,AU4L,AU4R,AU6L,AU6R,AU9,AU10,AU13L,AU13R,AU18,AU22,AU27
1,2.2593980962961653e-09,-5.7346348852440155e-11,1.192899111420716e-09,0.002571266771138268,0.24135582093973346,0.1927562789860716,-7.858709419187306e-11,-1.578301696041676e-10,-2.938948110578992e-10,-2.938491924889783e-10,5.572936800685312e-10,-3.6149357057296174e-10,0.06720015762312646,9.33505265004018e-10,-6.964285622862491e-10
2,2.6166341429425636e-09,2.3882777979784774e-09,2.945423996562869e-09,0.0003041752871690018,0.241492060500082,0.1920452177612759,1.985546986734144e-09,2.846292292996583e-09,9.416731766309428e-10,7.004632724817933e-10,1.8536719479700507e-09,1.4883602344842512e-09,0.06866466919398424,1.6643097122489913e-09,2.20331859918379e-10
3,1.0381133564375096e-09,9.573355992208184e-10,1.1642950995523111e-09,3.446424597605024e-05,0.24072873859521865,0.19216977475798275,7.963104560284672e-10,1.1519705489307806e-09,3.7075344102675836e-10,2.587681686038058e-10,6.734118702667061e-10,6.159340503492018e-10,2.5617749839953235e-10,0.036266085407795766,7.364781542437387e-11
4,2.427898566152684e-09,-1.1632674639402222e-11,1.3014042042098172e-09,3.847226566150874e-06,0.24084372856774874,0.1959703747293103,-4.086984332842133e-11,-9.724999506062816e-11,-2.649767127730204e-10,-3.6232580010901887e-10,8.776512817937577e-10,-3.9576601914979525e-10,0.06522390023918867,1.0229841295168108e-09,-7.307058277609883e-10
5,2.2519627121270664e-09,9.63890841280877e-11,1.2130527179411675e-09,2.8859995398793906e-06,0.24021918680226567,0.19785194195594055,-7.895841015405983e-13,-4.6140677618499576e-11,-2.4067220292663535e-10,-3.7246915098528083e-10,7.803870031911928e-10,-3.5447588123330773e-10,0.0683601868274728,8.341332576602374e-10,-6.548378662299753e-10
6,2.0760268581014484e-09,2.044108428955776e-10,1.1247012316725176e-09,1.924772513607907e-06,0.23959464503678263,0.19973350918257077,3.9290675125340135e-11,4.968639823629002e-12,-2.1636769308025033e-10,-3.826125018615428e-10,6.831227245886279e-10,-3.131857433168202e-10,0.07149647341575693,6.452823858036639e-10,-5.789699046989621e-10
7,1.900091004075831e-09,3.1243260166306754e-10,1.0363497454038677e-09,9.635454873364234e-07,0.23897010327129958,0.201615076409201,7.937093435222086e-11,5.6077957265757574e-11,-1.920631832338653e-10,-3.9275585273780474e-10,5.858584459860631e-10,-2.718956054003327e-10,0.07463276000404108,4.5643151394709045e-10,-5.03101943167949e-10
8,1.7241551500502132e-09,4.2045436043055745e-10,9.47998259135218e-10,2.3184610649402717e-09,0.2383455615058165,0.20349664363583125,1.194511935791016e-10,1.0718727470788616e-10,-1.6775867338748025e-10,-4.028992036140667e-10,4.885941673834982e-10,-2.3060546748384518e-10,0.07776904659232521,2.6758064209051705e-10,-4.272339816369359e-10
9,3.864368131105349e-09,-1.722265054128931e-08,7.539465680846728e-10,7.035146103926604e-07,0.24530835231104675,0.20644048896852812,-1.562806839657953e-08,-2.2484994139183154e-08,-4.481143350133832e-08,-4.612486579826966e-08,-4.993064646419384e-08,-3.5216309705825466e-08,0.02615858887485124,0.0963978209973135,-3.649334248349534e-08
10,1.1671620894549824e-09,9.090242123875408e-11,1.58738291344763e-10,2.078259691532052e-07,0.25112078329077153,0.2044311860503862,1.879237213701477e-09,5.823752944635766e-09,1.1437624225216443e-10,3.195741364547011e-11,1.6643467668419492e-12,3.1058637591144544e-09,4.853033046186606e-10,0.13548799673200168,1.1310541187060944e-09
