Frame,AU1L,AU1R,AU2L,AU2R,AU4L,AU4R,AU6L,AU6R,AU9,AU10,AU13L,AU13R,AU18,AU22,AU27
1,1.7312022381517743e-07,9.942494218012084e-07,5.5279378574193394e-08,7.275862012056518e-08,0.1614868551455088,0.10531355676472627,1.199833379749608,1.1999999171354383,6.253415944733785e-08,0.25089657727780995,0.5664661956248268,1.0567180085991217,5.8532759285127815e-09,4.522632508438027e-09,1.2681872116221288e-07
2,1.601371116802406e-07,1.3139078991690542e-06,4.6521843577445175e-08,5.7025482646856335e-08,0.16085014606919518,0.10669243911986316,1.1996937101602467,1.1999999262540664,5.1039531384940256e-08,0.2516038627500048,0.5546729503097455,1.0502183115582149,5.525201547162544e-09,4.667834989338509e-09,1.5049873987423425e-07
3,1.3015966806304504e-08,8.249496802780088e-08,6.714248537252265e-10,2.239965015367801e-09,0.16411745355412707,0.09715862505982152,1.1999928015926813,1.1999999988271657,6.101022143095799e-10,0.2504106942720617,0.5612379934073807,1.047987951778556,-4.655463334750036e-11,-1.2695587911684774e-10,7.810021654772278e-10
4,1.810888971979802e-07,9.781629449627976e-07,3.301403398432814e-08,4.442130920587501e-08,0.1642446126050844,0.0946138747895465,1.1999653043133371,1.1999999412075375,4.449742367293378e-08,0.2482953634457563,0.5561962812902329,1.0584153961595764,5.0688077937454935e-09,5.328070127600061e-09,2.395155174962475e-07
5,1.3013746696633427e-07,5.481221358125785e-07,4.8529705632894555e-08,6.452396592547735e-08,0.16398332766011098,0.09657887143555503,1.1999231590260877,1.1999999276628026,5.1206135209337154e-08,0.25221093787476545,0.5700658173081009,1.0620013707895726,1.3060284527479827e-09,-2.389031251386584e-10,5.813919651708544e-08
6,1.1244037776230064e-07,5.591978274783504e-07,4.23523127897924e-08,5.701646354102727e-08,0.16585193142219848,0.0983194926967286,1.1999809855099577,1.199999940381434,5.2347428697758944e-08,0.2556447920248092,0.5756296836567779,1.066333125650171,3.013448684878364e-09,1.9393434149976773e-09,7.671827275434088e-08
7,1.1454894487936197e-07,8.166658699358128e-07,2.083273329523517e-08,1.6724363298980156e-08,0.16996172374452534,0.09829120619992353,1.199989918196493,1.1999999632879206,1.9374795721067548e-08,0.25823188140563325,0.5889311986163668,1.0667578077204414,3.758484687832732e-09,4.348963647682071e-09,1.8200937243834696e-07
8,7.363492897846029e-08,2.1929703801479588e-07,2.12642382966254e-08,3.411628850745433e-08,0.17381049206546625,0.09976654611059964,1.1999995133823531,1.1999999719384615,4.693580080036956e-08,0.2574550202715708,0.5821206180292879,1.0756588268824503,1.6561381190908416e-09,2.089227880998407e-09,2.2879073843742005e-07
9,3.617170133871405e-07,7.731027266633038e-07,1.3813675791276658e-07,1.7676912083331834e-07,0.17357899781161049,0.09614537940296884,1.1999974163063734,1.1999997720509792,2.7821548378854705e-07,0.2582535459689916,0.5906222683941593,1.0769858382529371,2.2006740967863327e-09,2.6232386158766736e-09,3.177691845602924e-08
10,3.0473049349372406e-07,7.065793071031367e-07,1.1112529135828653e-07,1.3814140889542623e-07,0.17145919465084483,0.09354912153951728,1.1999377237738282,1.1999998175869968,2.016447237732507e-07,0.2576027170585576,0.590279121314611,1.0725659859467906,4.011270218360887e-09,4.9739024614107075e-09,1.570827630621008e-07
11,1.0707316904810458e-07,3.7973782613160117e-07,2.422278667142894e-08,2.8959829059270043e-08,0.16885214580691285,0.0918802070381246,1.1998754802400542,1.1999999624227693,9.046215794194524e-09,0.2555943193777355,0.5847887848084505,1.0667235152992671,5.746854275998361e-09,7.110682343956253e-09,3.712258026777397e-07
12,9.999790405682326e-08,5.206096268876677e-07,8.68338531345094e-09,1.4070336256954311e-08,0.1666828666764752,0.08977920960465362,1.1998728570835042,1.1999999769453757,-1.6282370461526235e-08,0.25299804122631375,0.583195865247516,1.0629284686083982,6.466248531903264e-09,7.40522094446897e-09,3.386594699600921e-07
13,1.506286163193374e-07,6.960779573881536e-07,2.4275708096996934e-08,3.5401848751361317e-08,0.16535325121137728,0.08752202479419237,1.1999159247192541,1.1999999389018798,2.8061848740423112e-08,0.2506863612737598,0.5825224756405918,1.0594406643012828,4.19904534778125e-09,4.499919072982445e-09,1.9619384455530726e-07
14,1.2608922363510417e-07,4.730260656498763e-07,3.076837583471131e-08,3.4883284805373365e-08,0.16526519336346457,0.0853845481618289,1.1999907535623793,1.1999999260393448,4.448175713437732e-08,0.24953175818954093,0.5797907289964626,1.0545199208050207,-3.025162914662026e-09,-2.962822460469738e-09,8.063900610953415e-08
15,6.645238280020947e-08,1.9555459103767945e-07,2.550163717399113e-08,2.0320324176876576e-08,0.1655490296746194,0.08690782395118116,1.1999991853607153,1.1999999400196335,3.356302908472309e-08,0.2494394920913577,0.5778009435396277,1.0513135754290812,-9.253780646600258e-09,-9.247417333917968e-09,7.554285634235126e-09
16,1.17907506107392e-08,2.0776417291640645e-07,5.8157407622334485e-09,-4.813533762429175e-10,0.1653350966867243,0.09563289640586708,1.1998430618620968,1.1999999825046088,-4.1086610441528845e-09,0.25031482309691067,0.5793534374945872,1.052968965482934,-8.534212239207144e-09,-8.61827922539264e-09,-7.500985859127579e-09
17,4.907942015013879e-08,4.85717989917735e-07,1.6174811482475208e-08,9.273221801590603e-09,0.1659204546051747,0.1046743237305212,1.199997768573322,1.1999999617864947,7.2908179918337045e-09,0.2516631600479114,0.5780530660695897,1.0564663076960241,-5.828944896618095e-09,-5.862526601438484e-09,4.431849991877258e-09
18,2.6529348450185373e-07,1.0054792206733429e-06,1.0104297421775335e-07,8.637901936595287e-08,0.16860216363536626,0.10714666412977802,1.2009386910011894,1.1999997861575151,1.4358559743676716e-07,0.25298991178607144,0.5675046844728847,1.058785818797797,-6.100465822968525e-09,-5.767277928600242e-09,1.231145154968085e-08
19,4.304453441824421e-07,1.3231704351308536e-06,1.672792385232981e-07,1.4841280809519804e-07,0.17062922472354738,0.10533378567835536,1.1999935565799311,1.1999996371242383,2.4550896678659e-07,0.2541136898702149,0.569269572901855,1.0603940914244985,-6.700208119621703e-09,-6.439984812411394e-09,2.1838176771159852e-08
20,3.14547399708462e-07,9.949142032378904e-07,1.2174261395433972e-07,1.1295135676768028e-07,0.1692506388159665,0.101519556450971,1.1944900927437805,1.199999696193232,1.537942155372446e-07,0.25485310585916554,0.6049090115538835,1.0617577182123736,-4.9796048879409015e-09,-5.988098858405424e-09,3.871238361319092e-08
21,1.0406819761146834e-07,3.939570846501021e-07,3.994836963738485e-08,4.11734921325832e-08,0.16687879594037264,0.09738686048908196,1.1918081143162549,1.1999998623777532,2.4150454495126734e-08,0.2546508097371973,0.6245470159975385,1.0589503791744177,-2.292724005219053e-09,-3.78234508912857e-09,3.153127399107587e-08
22,8.424319258569801e-09,1.6888307610042245e-08,2.3083529394542664e-09,3.482504176747818e-09,0.16587219267822184,0.09482678411855526,1.1950510742565483,1.199999996157328,2.703795125931301e-09,0.2534369602940525,0.5946860802867673,1.0494126217615116,1.7261949915307352e-10,1.7661986671975143e-10,7.369050026692483e-10
23,1.1001941571543216e-07,4.344670065302539e-07,2.3474743253770132e-08,3.595115115998541e-08,0.1657381635436828,0.09372036418264516,1.18362800766542,1.1999999229959877,2.3458058083047358e-08,0.2536112586884043,0.6019522002136697,1.04162122013413,2.9476702398245362e-09,2.320051300142929e-09,9.555185047512847e-08
24,1.2634342170981266e-07,8.907069758591312e-07,2.533491346517372e-08,3.818734273412647e-08,0.1652870854756611,0.08805256536305238,1.181819612365454,1.1999999231200182,2.8293250614277714e-08,0.2531754363861995,0.5968118378565177,1.0379126462730466,3.731419863772247e-09,3.354508941914131e-09,1.1984740285406054e-07
25,1.2913759205311522e-07,1.5285970585019727e-06,2.138224758457866e-08,2.5561318002323486e-08,0.1638011461619113,0.08706772450117345,1.1839617282942354,1.1999999380296835,2.164852962936889e-08,0.25495255295987995,0.5912263505213577,1.0341170195253198,3.4299456331587537e-09,3.322488682699925e-09,1.3410081524377336e-07
26,1.716280960632587e-09,1.906799713648548e-08,3.380894699324295e-10,4.44815420885544e-10,0.1624019833444889,0.08522435927140164,1.1904406193592298,1.1999999991996206,3.453191032179661e-10,0.25447494369514123,0.5911864267314935,1.0340352994813915,4.445005554162886e-11,4.369120017873552e-11,1.353980638069894e-09
27,6.609826737160164e-09,6.0774151126984e-08,7.381569830232586e-10,1.6278336184002893e-09,0.16240722898327845,0.08344921087086822,1.199987385493221,1.1999999991781778,1.4989839438812755e-09,0.2471221642546536,0.6079256306541214,1.0640732401042796,3.251448979895901e-11,3.4337325415048646e-11,5.3144713062491954e-11
28,3.258212758524923e-07,4.516350355762772e-06,3.770512307493024e-08,5.427064823428016e-08,0.16283750907964034,0.08461991445825755,1.1996168900709527,1.1999999514288762,5.3278839663312284e-08,0.2498667197865816,0.6120024245704992,1.0632595389476658,7.427635345280506e-11,1.4153438063852612e-10,1.6236380104927658e-09
29,8.786438301533059e-08,1.9604249509497746e-06,7.9023713995282e-08,3.0511635027859465e-08,0.16210568565766367,0.08639740252357804,1.1997613673169598,1.1999999004356632,1.3737803163706664e-08,0.2537764668389793,0.609425129779583,1.0612208777553325,2.6111931682015843e-09,2.317921004470198e-09,5.852996451917447e-09
30,6.370668035006397e-09,2.189913853300396e-08,2.0030166263679894e-09,2.8876640153902416e-09,0.1620093164401692,0.0871893494785292,1.199938213808133,1.1999999972749622,2.008044684224273e-09,0.26718862682107003,0.59336796986219,1.0522534450825278,1.1945264997904343e-10,1.24505075872946e-10,1.6751992555228552e-10
31,6.936489848983623e-09,-2.67314380862916e-07,-1.504591630013754e-08,2.177481087032228e-10,0.1635842209590765,0.08658098609040205,1.1994571198187196,1.2000000168393716,2.842574389468519e-09,0.267635941196111,0.5822143452395073,1.0470015439547549,-3.1598858906569907e-10,-2.527697489144174e-10,4.546029877386324e-09
32,1.7437615646212702e-08,4.28732131807219e-08,4.8421681936889174e-09,7.779857478136556e-09,0.1651877670951697,0.08584965219779217,1.1998116381149837,1.1999999916353816,5.281571780628245e-09,0.2625734250284954,0.5795702061462925,1.0443634653725409,3.442137947125813e-10,3.4641648526235164e-10,1.2082647251335688e-09
33,4.039537885118599e-09,9.651805769247721e-09,4.597175378921495e-09,8.704418636681105e-09,0.16505952174832395,0.08631096039579263,1.202535855770536,1.1999999970433417,5.22378876602887e-09,0.2636166697864732,0.5856290017062349,1.0410370437944247,-3.138871652843289e-10,-1.821204812855823e-10,-3.157966228183609e-08
