Frame,AU1L,AU1R,AU2L,AU2R,AU4L,AU4R,AU6L,AU6R,AU9,AU10,AU13L,AU13R,AU18,AU22,AU27
1,4.5297307348832406e-10,8.51349491256526e-11,6.571945951922703e-10,-1.782489104809975e-11,0.09047922233486644,0.010726775844716886,1.4741367215069283e-10,1.3701675566009223e-10,2.8602600736556093e-11,2.418162059750177e-11,4.60693176269129e-11,0.019091175084253783,9.249973215641114e-12,1.3685427243375512e-10,-7.406901238988912e-11
2,5.518767027642203e-10,8.775647576788969e-11,6.984105403854327e-10,-1.6141239915922148e-11,0.09035272131650644,0.010341531084543934,1.8928829208762642e-10,1.735270223009181e-10,4.241950949619395e-11,3.466927395328732e-11,5.919165725606609e-11,0.019689960556267882,2.475511840227799e-11,1.5818426943272193e-10,-7.956994455240393e-11
3,5.214250465905124e-10,7.462292122322925e-11,6.449053895540375e-10,-7.437461101294228e-12,0.0915915950623664,0.01047883461977352,1.9320768888213473e-10,1.714304084792405e-10,4.578611083312506e-11,4.13045815859836e-11,6.663814460507416e-11,0.017063682608378532,4.6204841463012037e-11,1.7406615739953932e-10,-7.145995583483194e-11
4,4.067795069584643e-10,6.450096227570122e-11,6.042652524994758e-10,-6.377569749360841e-12,0.09181917862932718,0.010813524494562814,1.61784820493613e-10,1.4297622543596403e-10,3.208220512540714e-11,2.781167244304323e-11,5.55323285366026e-11,0.016054651556297032,3.3680520341738784e-11,1.5362573815280699e-10,-6.51739157211746e-11
5,3.707805658734313e-10,5.758474416525913e-11,6.301089985014432e-10,-9.022322314439728e-12,0.09148469322794707,0.010159119980279343,1.5371962665116846e-10,1.467824650021459e-10,3.416171193094757e-11,2.6614384025849882e-11,5.179078400231826e-11,0.016365614317743967,2.6519520705079135e-11,1.4628028624179004e-10,-6.717908119415335e-11
6,3.347816247883983e-10,5.066852605481703e-11,6.559527445034106e-10,-1.1667074879518615e-11,0.09115020782656696,0.009504715465995872,1.456544328087239e-10,1.5058870456832775e-10,3.6241218736488e-11,2.541709560865653e-11,4.804923946803392e-11,0.016676577079190902,1.9358521068419483e-11,1.389348343307731e-10,-6.918424666713212e-11
7,4.0397616027618283e-10,6.267532183375293e-11,7.041805901429023e-10,-1.1381287580131851e-11,0.0910655141175144,0.009083266438997241,1.8596093312029138e-10,1.916479920664481e-10,5.411649047493911e-11,3.720504723618258e-11,6.033028102309088e-11,0.016774399465131856,3.9270010030051436e-11,1.6750359429076876e-10,-7.491599183774834e-11
8,3.404368808631606e-10,4.260323165532327e-11,6.514165958582357e-10,-8.155566413664464e-12,0.09112697114009642,0.009447973640602028,1.6419744243001674e-10,1.6629957683266637e-10,4.680907558635131e-11,3.0805272044695734e-11,5.232791204487989e-11,0.017314289738385984,2.7622354853786976e-11,1.4876860671075202e-10,-6.805050917764221e-11
9,2.9774636071534486e-10,4.615761621490373e-11,6.534815623089608e-10,-8.734866854491323e-12,0.0917278092452267,0.008275063074079226,1.578020496207169e-10,1.55128528721656e-10,3.994689500811533e-11,2.8823095318210737e-11,5.2791487764382784e-11,0.01706613941870852,3.045987213588357e-11,1.5512207662187734e-10,-6.216568716021185e-11
10,2.7588764288690707e-10,2.1416254920941746e-11,4.183899552765972e-10,3.1706029718487666e-11,0.0951132125085239,0.01310514346265024,1.1303027449370222e-10,1.2179624737609071e-10,3.3622848426930466e-11,2.000234570246024e-11,3.409292561836441e-11,0.019074924731910702,2.8076411832522607e-11,1.262838129658705e-10,-4.389955469928427e-11
11,2.0832787056428642e-10,2.337844706780989e-11,4.169632098524488e-10,6.701295527185515e-11,0.09142247583131026,0.015524161647071847,1.0751595512864485e-10,1.1232975393143464e-10,3.1283432871339835e-11,2.195577706953073e-11,3.3395680236551014e-11,0.017912395238940497,2.033346783472433e-11,1.003917509593324e-10,-3.782033009588819e-11
12,1.924488216294317e-10,2.4660416072846184e-11,4.023186539958385e-10,5.4308329053563204e-11,0.09065955916631227,0.015394975570199178,1.0788235443643792e-10,1.1036846107640281e-10,3.2585719125741765e-11,2.4224957186010434e-11,3.379651853217119e-11,0.017201949645837832,2.0921280264875762e-11,9.829373234051059e-11,-3.482055131363553e-11
13,2.618521865384929e-10,2.6817589433606308e-11,3.227457626175832e-10,5.0540064247691756e-11,0.09463001133564378,0.014602029852746626,9.885350921948231e-11,1.0976906733665855e-10,4.309123675049025e-11,2.5825271433273512e-11,3.470390619569326e-11,0.0181862685702388,3.2321043498626366e-11,1.2795272751391021e-10,-3.0985064776687855e-11
14,1.1015154263516961e-10,3.363728645087608e-11,1.7610982334189725e-10,3.6152538851319924e-11,0.09198199431499217,0.014628967510343878,6.43096761234457e-11,8.474926585333599e-11,3.688615821635547e-11,2.5231445725441514e-11,2.910614852528631e-11,0.0182558379301809,4.111892118011065e-11,1.2119811215196993e-10,-8.031403444157998e-12
15,4.1633552151276764e-09,1.4509667336121318e-09,1.1692802725742035e-09,1.479835906846864e-09,0.09523947620732713,0.009892972460525307,2.682774064109243e-09,5.403241124648707e-09,1.467132386463012e-09,1.2633344058190743e-09,8.370248008688408e-10,0.006748980917434934,4.73799250578207e-09,1.2638026060968058e-09,7.622589969325323e-11
