Frame,AU1L,AU1R,AU2L,AU2R,AU4L,AU4R,AU6L,AU6R,AU9,AU10,AU13L,AU13R,AU18,AU22,AU27
1,0.650036090334701,0.6208020470387795,0.382866720000288,0.5050188681197122,0.08281224098417261,0.045303346487267235,2.2208450122221727e-05,0.03372909922322104,3.5132031597640114e-09,-4.42092821489796e-09,1.0615183353145095e-08,4.704393508049713e-09,-2.0352569094404693e-08,-3.1980178272142932e-09,1.1999999579905476
2,0.6561448277963741,0.6195166715106982,0.3994503229913751,0.5008455984395785,0.07817895962220035,0.04258395479067168,1.699446344581752e-05,0.03425590332816269,3.592402707434983e-09,-5.65070886792261e-09,8.891630441309515e-09,4.490124080475611e-09,-1.935313803907576e-08,-2.888753734376391e-09,1.1999999744490577
3,0.6621859651170694,0.6206211866370633,0.4183211736570352,0.49875499403441903,0.07077665947860606,0.0422968244348164,8.468490437961021e-06,0.028601722432764664,3.5634092835224456e-09,-3.143101023007766e-09,8.646123786596168e-09,4.361288884233548e-09,-1.2677161600568086e-08,-1.3959214679533227e-09,1.1999999837502886
4,0.6694008800926929,0.6208446186708335,0.4356892302826016,0.4991092208273372,0.06441969665102944,0.04387087609648317,2.183009238124427e-06,0.01987133813987839,3.8725253930454114e-09,-5.495386939123182e-10,8.075491705902495e-09,4.014787617778727e-09,-7.2142287737763706e-09,-2.2035158650684687e-10,1.199999988736521
5,0.6779358841260672,0.6182646991875294,0.4501275291999772,0.5003391199442084,0.06152048124726967,0.04539794320281625,1.4638949189074845e-06,0.012403335847703912,4.299975203161342e-09,-1.904049313300012e-10,6.69968411572526e-09,3.487216505398885e-09,-7.411417761216564e-09,-3.190458257622355e-10,1.1999999911305848
6,0.6844929329359667,0.6152105570381676,0.46685816247986844,0.4962240989430923,0.05958354241149168,0.041884495085641835,1.947526101213185e-06,0.01234933119434814,3.0269323993098555e-09,9.059245333250623e-11,7.655125534163191e-09,3.6687617068398016e-09,-8.959404901255306e-09,-7.089691169404547e-10,1.1999999897994107
7,0.6884225554012147,0.6107863303373284,0.4822532744496519,0.4909077030692136,0.05751107528093063,0.036051853440076435,1.9113416022441976e-06,0.014606003847316184,1.829543807982466e-09,3.906821598393075e-10,8.697314891733079e-09,3.768521236191429e-09,-9.160920961343496e-09,-8.043715157925605e-10,1.1999999889780997
8,0.6900812000926138,0.6047079300606233,0.4916229584598224,0.4894565411691468,0.05489124243330424,0.032112276938759884,1.1708317725563043e-06,0.012633054443019771,2.7176698299802387e-09,3.585381348126436e-10,7.41679964964409e-09,3.1119615426989426e-09,-7.1946797944181635e-09,-4.355344186530024e-10,1.1999999921900617
9,0.6901969783068039,0.6019869402060511,0.49684504020405135,0.4888993633619256,0.05163265519729919,0.030835303165937862,5.763737381308001e-07,0.007055127565701841,4.355312228053987e-09,7.348702485223727e-10,6.368944155832288e-09,2.871581078571336e-09,-5.210836526716324e-09,-6.353496966073456e-11,1.1999999950920828
10,0.6899345051883372,0.6024896837244543,0.4999501926898343,0.4863755151526652,0.049134753234155636,0.030800304237909987,3.008559632498146e-07,0.0018785549350168493,4.496277644035694e-09,6.439241683528348e-10,5.302475392825975e-09,2.2845372624631758e-09,-4.310184675869403e-09,3.865950195350158e-11,1.199999996878401
11,0.6901477154351068,0.6022446201065589,0.5025699049326647,0.4815938086732411,0.04827480415563741,0.030669038043612627,2.2823185841959812e-07,0.00014760857126049114,2.417510680494316e-09,-4.902465031584406e-10,3.5884119152767444e-09,7.565523131725367e-10,-4.4840356968445744e-09,-1.1658611044322426e-10,1.199999998121101
12,0.6902017807859482,0.5932286625344498,0.5057603539969405,0.47998541917813436,0.047088233223193235,0.030581941876091593,1.580356252487158e-07,-9.057088116110045e-05,2.010044215072159e-09,-7.828450856776238e-10,2.8390713645311635e-09,1.9834467119026883e-10,-3.98007081078558e-09,1.5766056592000497e-11,1.1999999989443941
13,0.6895413805091548,0.5829037736463691,0.5083078859348249,0.4798092152827061,0.04571854161840165,0.030040443271888945,1.4130901417100516e-07,1.5331802796181727e-05,2.4792729690252984e-09,-5.611143501732302e-10,3.106227798508365e-09,4.237495244442057e-10,-3.544793535783793e-09,2.1469741527564898e-10,1.1999999990297092
14,0.6876033316474287,0.5788746079548783,0.5088321904629675,0.4782945718310632,0.04447286747431144,0.02904052004770357,1.4069193944224767e-07,1.366525755961552e-05,2.1979218463191827e-09,-7.031027888894683e-10,3.0583083627467567e-09,3.572518363920011e-10,-3.794142998927026e-09,1.1052276365139505e-10,1.199999999103526
15,0.6838137052084194,0.5754181778954011,0.5077556480675166,0.4769190114864806,0.04226952094100724,0.029622038577417756,-1.666340734020496e-07,-1.6907029966817927e-06,1.864608646432002e-09,-1.2607679141331847e-09,3.595395394768397e-10,-8.296114858570833e-10,-3.2595903138820494e-09,-2.884579184445263e-10,1.2000000017098293
16,0.6794803145203244,0.5773522936132867,0.5067072352474703,0.4751834650786345,0.0412910919954978,0.030547446831171287,1.7115589316213286e-07,3.5970104826693718e-06,6.149291096340282e-10,-2.0285183823320692e-09,9.240754230036983e-10,-5.293716254794972e-10,-5.832119827298855e-09,-8.289034863952447e-10,1.1999999996636084
17,0.6741980936003522,0.5868582812655965,0.5058103729894113,0.4719404911345138,0.041977604980627116,0.029977592441726326,1.4799493197963303e-06,1.1437518270840519e-05,-1.6272453147969349e-09,-2.8782771621531597e-09,7.518313162345725e-09,2.398353003916669e-09,-1.2625132972884708e-08,-1.2426894737143353e-09,1.199999990397714
18,0.6625303875375753,0.5878906682138499,0.500158446652051,0.46779046935187696,0.037880035411264446,0.02853693463966548,1.2324303361706329e-06,8.296329700793659e-06,-1.151570233933879e-09,-3.847779842682544e-09,6.86857729863436e-09,2.0943081964071694e-09,-1.219015716857943e-08,-1.0722525479215798e-09,1.1999999925748002
19,0.6521450906906094,0.5865348793785661,0.4903317250507481,0.4678961334983112,0.03557759529351163,0.030574821935364205,2.6156317760094045e-07,1.5059690559842116e-06,4.960737522896209e-10,-4.271193367513027e-09,2.7611672323598753e-09,2.0368072848330247e-10,-8.017488408747888e-09,-6.218442632749203e-10,1.1999999997753
20,0.6500784938159937,0.5903402190978267,0.4813874941837074,0.4734654544724181,0.04074215420204213,0.03698619729490585,2.5048134368008233e-07,1.034460531763504e-06,-5.184724795987329e-11,-4.136732633901227e-09,2.6241393299678253e-09,-1.1831912175927047e-10,-7.94873352527026e-09,-6.981231064908232e-10,1.1999999999138762
21,0.6480317584683934,0.5887975051493612,0.4831610376399117,0.4711251320150126,0.04317002523355885,0.036367592413329625,1.5795756533180517e-06,5.751739867183142e-06,-4.8022874120436765e-09,-5.630692088187077e-09,5.7205642930675354e-09,5.719032213446325e-10,-1.513860208999426e-08,-2.3923302045522336e-09,1.199999992534171
