Frame,AU1L,AU1R,AU2L,AU2R,AU4L,AU4R,AU6L,AU6R,AU9,AU10,AU13L,AU13R,AU18,AU22,AU27
1,1.19999926964666,1.184338754385318,1.19999212428393,0.8636616573936821,7.592173143439088e-07,9.31830361950167e-05,7.743466505531518e-08,8.911837444173516e-08,-5.328079313981668e-09,-8.553312829661217e-09,-2.568270259736585e-09,-2.476962662828628e-09,-1.3659444564926809e-08,3.0544745577546673e-10,1.2000000059136786
2,1.1999991706994046,1.1815373863859702,1.1999968066069886,0.8610869796365207,5.827282603737543e-07,8.413813345803301e-05,5.4834146931065736e-08,5.8834553099556636e-08,-7.885304266523326e-09,-1.0131601240583156e-08,-4.898320927133496e-09,-4.593969709972882e-09,-1.506729682892229e-08,-1.8090916063786751e-10,1.20000000695549
3,1.1999989570297418,1.179779835356068,1.1997382954915312,0.8537318279337481,2.590690367962639e-06,5.956379669558399e-05,7.979048622421237e-08,8.728354666649904e-08,-5.9821141647963514e-09,-9.518805166834342e-09,-2.988470143423745e-09,-2.9295739235885237e-09,-1.502042221173678e-08,2.6461672135605935e-10,1.2000000065586365
4,1.1999988097850216,1.1777917231728998,1.1996134148689523,0.848145103035335,3.8776053200404125e-06,5.570179016663479e-05,9.184394813341114e-08,1.0270795029722796e-07,-4.51414412041333e-09,-8.798903638079273e-09,-1.705948890202069e-09,-1.7757690930606816e-09,-1.4424032455597014e-08,5.160726042374394e-10,1.2000000060985998
5,1.1999987767746536,1.1747720864368305,1.199894976275348,0.8493687978715926,2.467056699072748e-06,9.727388803324408e-05,4.9321687939630966e-08,5.469566717011701e-08,-7.55166594850052e-09,-1.0053806402618064e-08,-4.903469027061549e-09,-4.559395294632101e-09,-1.4763931467303187e-08,-2.698076890641431e-10,1.200000006957639
6,1.1999982855997258,1.1731764389422359,1.1999079241828547,0.8486469636928288,3.0220896541518004e-06,0.000106274516348091,4.855926178977818e-08,5.2880123804952215e-08,-9.867961612282236e-09,-1.22755274921081e-08,-6.617472005816125e-09,-6.1440144545240194e-09,-1.769626274917479e-08,-5.409894080014104e-10,1.2000000084856626
7,1.1999983072044746,1.1715457501516708,1.1999823967117378,0.8461276496681692,2.0163657647637787e-06,4.2406511767614425e-05,2.3292385886010764e-08,2.2368899013289686e-08,-9.707179102392591e-09,-1.0791757315304182e-08,-6.881322102891229e-09,-6.295085590804431e-09,-1.4959589684398526e-08,-8.236602960022598e-10,1.200000007428471
8,1.199997705670854,1.1712271395957516,1.1997662009362189,0.8421667748950009,5.7468826192330846e-06,3.111425773715743e-05,5.1823359523489243e-08,5.5193837583327744e-08,-8.312936327584206e-09,-1.0419693294072344e-08,-5.258262477248362e-09,-4.7931698440661585e-09,-1.532590077723077e-08,-4.683054995036e-10,1.200000007071348
9,1.1999970819203851,1.1696690250708999,1.1955019770545503,0.8381087143119198,1.920929181417508e-05,2.597019700112053e-05,1.8153721300363004e-07,2.3081717321148442e-07,3.542553585622737e-09,-4.4379365482722466e-09,6.167999787621216e-09,5.208886898157008e-09,-1.1579534257063707e-08,2.0159301176205866e-09,1.2000000030145912
10,1.1999948759665802,1.1649062222726982,1.1885653020126103,0.8294776454963981,2.863315943176364e-05,4.302899578574359e-05,1.4109005245809882e-07,1.7007223539777297e-07,-4.850234634332225e-09,-1.0373627148699184e-08,-8.341132658622513e-10,-1.059987195250904e-09,-1.808019915760709e-08,4.921252443483982e-10,1.2000000069751595
11,1.1999932212168596,1.1446239291834628,1.1845147261578282,0.8247126442445946,4.032760311863119e-05,3.788018423934256e-05,1.590451064522384e-07,1.8907481836946465e-07,-3.4821393883309105e-09,-8.941271489134651e-09,1.1897569489589402e-09,7.312225866319897e-10,-1.6574013402083828e-08,7.322137542190658e-10,1.2000000062727656
12,1.1999914610643985,1.13702675804631,1.1805656072379316,0.8190864181033443,4.4700948113052616e-05,3.095601390224065e-05,1.1850202040604494e-07,1.1909216475336516e-07,-1.287256951379706e-08,-1.6241553056567948e-08,-7.0301987179441915e-09,-6.780097469792433e-09,-2.494238598250107e-08,-1.1097178965186534e-09,1.2000000109194098
13,1.1999900710135736,1.1355537999384644,1.1763502857871262,0.8106667471730831,4.778680763746998e-05,2.55556999102274e-05,8.4860985424123e-08,7.759690733364601e-08,-1.5386058575609814e-08,-1.7913089458912156e-08,-1.0026719618671461e-08,-9.487080012552366e-09,-2.63432203147004e-08,-1.9809684945922774e-09,1.2000000117319227
14,1.199985346577861,1.1410564375813568,1.165626521486418,0.8071202455692097,8.216159615458287e-05,2.550067372651472e-05,7.639438269682555e-08,-1.043858645486211e-06,-1.5387465516693807e-08,-1.7204581474925904e-08,-1.0113751810327086e-08,-9.579129067926584e-09,-2.5108875189860867e-08,-2.2684647594780056e-09,1.2000000111049016
15,1.1999779007845772,1.1468843235146722,1.150667120299031,0.8044215095095038,0.00012558633593001787,2.523027479259525e-05,8.019972333149749e-08,6.626841132714512e-08,-1.2022769091192295e-08,-1.3655374125372282e-08,-7.304127817982267e-09,-7.0932402391156406e-09,-2.043237238043742e-08,-1.8183352180185663e-09,1.2000000087403495
16,1.1999671274392307,1.1453784817838877,1.1377267517275411,0.7973550059868834,0.00014694906371845586,2.3251404538127844e-05,8.97451891835214e-08,1.0176778341585764e-07,-7.0013054165145665e-09,-9.615944929744803e-09,-3.655993227995953e-09,-3.993250329548789e-09,-1.5564580840137847e-08,-1.1327516472376944e-09,1.2000000060458509
17,1.1999405612779797,1.1362988000222392,1.138789707783776,0.7871371324964109,0.00015945197997829482,3.6786151524559904e-05,1.3164265329586252e-07,1.8204910225281264e-07,-1.6186174610516208e-08,-2.0685891752069168e-08,-1.1305215753596824e-08,-1.1592271523378324e-08,-3.211995255225506e-08,-3.600646252068205e-09,1.2000000128624124
18,1.199835253079692,1.1346464334863473,1.1282598887891773,0.7753595847393434,0.0003749947801667978,1.3327080495037894e-05,1.6571323083162037e-07,5.792478552584699e-07,-5.954116903157448e-10,-9.303359945751827e-09,-9.192871751330821e-11,-1.6135735623320322e-09,-1.8377087376199712e-08,-1.1052836818900332e-09,1.2000000057475246
19,1.1994302703134494,1.1331557934126535,1.122324749006055,0.7604109185391041,0.0014335339162278207,5.569522362613707e-06,3.370778012158433e-07,1.059513117473423e-05,1.795224838897464e-08,8.427892542894276e-10,1.5235155339451213e-08,1.1134886648167488e-08,-9.902182769312657e-09,2.054500164942545e-09,1.2000000001910998
20,1.1992887823482277,1.1283479835953074,1.106976450877751,0.7464169824969884,0.0066337855139777455,6.942806285469473e-06,3.2474331800598085e-07,0.008405026673609465,2.3482471912333095e-08,-1.6406674502990584e-09,9.395681227656408e-09,5.570732614225404e-09,-1.2619489783413446e-08,6.42074761798083e-10,1.2000000039188838
21,1.1994210717507066,1.1289738226838688,1.0963703499528612,0.7406568763100777,0.010506084371153102,7.333959669669599e-06,9.591295892146602e-08,0.024465197635089805,1.9227162176749584e-08,-5.639419141695538e-09,-8.833725041613158e-10,-3.2030539359415928e-09,-1.396392135153869e-08,-1.4395267343800384e-09,1.2000000073838235
22,1.199602064507315,1.1400196242047247,1.1027435132521457,0.7462354674920665,0.008650784108589476,1.787782913625241e-06,1.0705185996854127e-07,0.045712687403290285,1.4058121102114866e-08,-1.2500192347886986e-09,3.319091386678958e-09,7.504781812986608e-10,-5.369181067582529e-09,-2.736939049794e-10,1.2000000026891229
23,1.1990365460808263,1.1370557055667176,1.096471555357174,0.7426813281447684,0.01077713715935116,3.503125239086031e-06,2.9363078981873855e-06,0.07020871116281699,3.0484108982164836e-08,-2.066350196312629e-09,1.2722575045433947e-08,4.260783279611551e-09,-8.969917610251551e-09,-1.4762942060020764e-10,1.200000004194235
