Frame,AU1L,AU1R,AU2L,AU2R,AU4L,AU4R,AU6L,AU6R,AU9,AU10,AU13L,AU13R,AU18,AU22,AU27
1,1.199999241884384,1.199996509263164,1.1999995271787418,1.0787007124823549,1.0887880386843794e-06,1.1479543236755985e-05,1.7006449179951314e-07,7.210628527641626e-06,3.0248674120486025e-07,1.2432852916371338e-08,4.044021030260511e-08,1.1864637284850643e-08,-4.390886941715141e-08,-1.2981234113380072e-08,1.199999838447694
2,1.1999999169044262,1.1999997134574891,1.1999999407311996,1.0697374166452125,3.1412444823949744e-08,8.065228881049019e-07,1.3722329603961404e-07,6.556058890301207e-07,1.572904006991907e-08,-1.011897472206116e-08,6.951165345613718e-09,-2.7783973515470885e-09,-1.1644167340750309e-08,1.0403112019472492e-09,1.1999999140550617
3,1.1999999993990216,1.1999999987303898,1.1999999996141073,1.1036313809409284,-2.396583186198798e-10,4.2769137015966635e-09,-2.4820074953840443e-10,-6.473973182528751e-10,-4.2832792917119536e-10,-8.908080268896161e-10,-3.1412343416170683e-10,-5.762133066907262e-10,-8.999438713074492e-10,-6.760516536587617e-11,1.2000000007364673
4,1.1999999934985008,1.1999999319542094,1.2000000006183134,1.0567577207683154,-7.0278414806971325e-09,1.6569325103105605e-07,4.793396974800452e-09,4.688341232654415e-09,-1.712019869060639e-08,-1.42356453901297e-08,-1.1601715647320927e-08,-1.3275127329048287e-08,-2.0427987127141943e-08,5.841274610505853e-09,1.2000000115550482
5,1.1999999869139302,1.1999999267929582,1.1999999978843343,1.0825107027300112,-6.878096632682229e-09,2.0001368940931265e-07,8.167589125824624e-09,1.688785751749255e-08,-1.8626683565473402e-08,-1.6018659523055686e-08,-1.2584201675935731e-08,-1.5264538848824948e-08,-2.3083355319746335e-08,3.9483278032489895e-09,1.2000000124173968
6,1.199999990331459,1.1999999581869751,1.1999999986255123,1.1267637442595049,-5.80384685862674e-09,1.7011318612232931e-07,2.3729033305104084e-08,3.5006408805407563e-09,-2.2018677220296272e-08,-1.836355437002181e-08,-1.3757304331190767e-08,-1.5592690357609032e-08,-2.5280725938334703e-08,9.1098027037191e-10,1.20000001928902
7,1.1999999775366037,1.1999999515068889,1.199999990657128,1.1432120687186682,-2.150711036247071e-09,2.2154044615211755e-07,2.3634458048220307e-08,4.5970318872546886e-08,-1.9468791649942224e-08,-1.984238050289745e-08,-1.2196618220901445e-08,-1.3948103424258375e-08,-2.619071633261576e-08,9.895200979575388e-10,1.2000000195259108
8,1.19999997013701,1.1999999468513454,1.1999999852264809,1.1524191616911117,1.3037058489423507e-09,2.561513299261127e-07,2.8721183319416642e-08,6.281759167749032e-08,-1.6885889269715597e-08,-1.8775530202852143e-08,-1.0325927833148042e-08,-1.2270370618812354e-08,-2.4751710042102013e-08,1.2203543852813066e-09,1.200000018270881
9,1.1999999730137485,1.1999999481798391,1.1999999872569125,1.15263571020287,-4.588530144929985e-11,2.506377043093873e-07,2.7168050893444888e-08,5.722866499827387e-08,-1.801854078498904e-08,-1.928446989885588e-08,-1.113699541264437e-08,-1.3084816558008149e-08,-2.548156703502513e-08,1.1823965272566847e-09,1.2000000189548317
10,1.1999999698907715,1.1999999462503754,1.1999999849612633,1.1556385569486167,1.5112437976930863e-09,2.602226450704544e-07,2.9284204602787322e-08,6.370345757455603e-08,-1.6815296487278543e-08,-1.858771866452289e-08,-1.0259385740025346e-08,-1.233853995860143e-08,-2.4638686098768488e-08,1.339762767975924e-09,1.200000018269243
